,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
521,to describe feeling of a sudden surprise,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
522,to describe flat-surfaced object,17,17_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['hole in paper', 'hole in wall as rat hole', 'hole in ground']",animals activity -  -  -  -  -  -  -  -  - ,0.13831888991019917,False
523,to peel sugarcane,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
524,to be always successful in fishing,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
525,monkey-faced expression,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
526,cruel-looking face of tiger,57,57_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['sound of roar of tiger', 'roar of tiger', 'tiger']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
527,to squeeze rice into a ball to eat,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.42607275165700226,False
528,place in stream where water divides,2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,1.0,False
529,funnel,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.9827311678778118,False
530,to describe something large curled up in a sitting position,66,66_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to roll up, curl up body ', 'to roll up in', 'to roll up']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
531,cat curled up to rest ,66,66_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to roll up, curl up body ', 'to roll up in', 'to roll up']",animals activity -  -  -  -  -  -  -  -  - ,0.8449354337265014,False
532,description of a frog sitting,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
533,new leaves,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,1.0,False
534,walls of a house,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
535,groove on crossbow in which arrow sets,70,70_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to pull trigger of gun crossbow ', 'crossbow', 'crossbow ']",animals activity -  -  -  -  -  -  -  -  - ,0.8452850691663675,False
536,"to lead by hand, of hen to lead and give food to chicks",87,87_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['comb of rooster ', 'rooster', 'the crow of a rooster']",animals activity -  -  -  -  -  -  -  -  - ,0.9180880816006718,False
537,trellis,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
538,hem,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
539,to squeeze fruit,50,50_fruit_grows_twist_break,"['fruit', 'grows', 'twist', 'break', 'off', 'trees', 'lecheelike', 'tassels', 'several', 'grapetype']","['lechee-like fruit ', 'fruit', 'a type of fruit']",fruit - grows - twist - break - off - trees - lecheelike - tassels - several - grapetype,1.0,False
540,description of many finger-like projections,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.8132701622936228,False
541,like projections,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
542,poised to charge,5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,0.4454520752469203,False
543,to describe goose-neck appearance of anything,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
544,to walk or be slow in actions because sick,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
545,"fearless, able to control",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
546,"to cut in two -- bones, wood, meat",41,41_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to cut into small slices', 'to cut', 'to cut']",human activity -  -  -  -  -  -  -  -  - ,0.37161307893118506,False
547,to fold,84,84_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to split', 'to split up ', 'to split']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
548,to stir to get dry e.g. rice,3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.11338460505045506,False
549,high-pitched,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
550,medium-sized bird that sometimes lives in people's houses,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,0.727686809417583,False
551,metal belt,36,36_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['ring-type earrings', 'metal necklace (all one piece)', 'chain necklace']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
552,to cut off branches of tree,13,13_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'the Têt tree ', 'a type of tree']",plants -  -  -  -  -  -  -  -  - ,0.7524695248460103,False
553,"to cut with knife -- cloth, kerosene can",41,41_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to cut into small slices', 'to cut', 'to cut']",human activity -  -  -  -  -  -  -  -  - ,0.7931764696428694,False
554,expression to describe something cold,23,23_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['dry season ', 'hot dry season', 'hot dry season']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
555,loud noise,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.9332400122386479,False
556,strange,69,69_different_strange_new_usual,"['different', 'strange', 'new', 'usual', 'peculiar', 'unaware', 'unprepared', 'same', 'another', 'ordinary']","['different, new', 'different ', 'different, strange ']",different - strange - new - usual - peculiar - unaware - unprepared - same - another - ordinary,1.0,False
557,"strange, out of ordinary",69,69_different_strange_new_usual,"['different', 'strange', 'new', 'usual', 'peculiar', 'unaware', 'unprepared', 'same', 'another', 'ordinary']","['different, new', 'different ', 'different, strange ']",different - strange - new - usual - peculiar - unaware - unprepared - same - another - ordinary,1.0,False
558,to reach out hand,4,4_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit with a large stick', 'to hit with a small stick', 'to hit target']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
559,rainbow,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
560,a type of fish,16,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of fish', 'fish', 'a type of fish']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
561,to hoist up,80,80_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large pile  ', 'a large pile', 'a large pile']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
